1,Norway,0.053,6,5,5.9,39.6,96.1,94.6,61.2,68.5,0.993,1,0.944,0.951,83.7,79.7,18.3,17.1,12.8,12.7,59800,75314,VH
2,Australia,0.120,24,6,14.1,30.5,91.4,91.5,58.6,70.9,0.978,1,0.927,0.948,84.6,80.5,20.9,20.0,13.4,13.0,34271,51386,VH
2,Switzerland,0.040,1,5,2.9,28.9,96.1,97.4,62.7,74.8,0.974,2,0.926,0.951,85.1,81.0,16.0,16.1,13.3,13.5,46798,66116,VH
4,Germany,0.066,9,6,6.7,36.9,96.4,97.0,54.5,66.4,0.964,2,0.908,0.942,83.4,78.7,16.9,17.3,12.9,13.6,35878,54440,VH
5,Denmark,0.041,2,6,4.0,37.4,89.1,98.5,58.0,66.2,0.970,2,0.910,0.938,82.3,78.5,20.0,18.4,12.6,12.9,36857,52293,VH
5,Singapore,0.068,11,10,3.8,23.9,75.5,81.9,58.2,76.4,0.985,1,0.913,0.927,86.2,80.1,15.5,15.3,11.1,12.1,60787,96001,VH
7,Netherlands,0.044,3,7,4.0,36.4,86.2,90.3,57.5,70.2,0.946,3,0.895,0.946,83.5,79.9,18.2,18.1,11.6,12.2,30117,62773,VH
8,Ireland,0.127,26,8,10.4,19.9,86.8,82.2,52.4,67.8,0.976,1,0.909,0.931,83.1,79.0,18.6,18.6,12.5,11.9,33497,54135,VH
9,Iceland,0.051,5,3,6.1,41.3,100.0,97.2,70.7,77.5,0.965,2,0.905,0.938,84.2,81.2,20.1,17.9,12.2,12.6,30530,43576,VH
10,Canada,0.098,18,7,9.8,28.3,100.0,100.0,61.0,70.3,0.983,1,0.911,0.926,84.1,80.2,16.8,15.9,13.3,12.9,33288,52026,VH
10,United States,0.203,43,14,22.6,19.5,95.4,95.1,56.0,68.4,0.993,1,0.915,0.922,81.6,76.9,17.3,15.8,13.2,13.2,42272,64410,VH
12,"Hong Kong, China (SAR)",-1,-1,-1,3.2,-1,80.9,74.7,53.4,68.5,0.964,2,0.903,0.937,87.0,81.4,15.8,15.5,11.5,12.4,39525,70921,VH
13,New Zealand,0.158,34,11,23.6,31.4,98.8,98.7,62.4,73.1,0.963,2,0.896,0.930,83.7,80.3,20.0,18.5,12.6,12.5,24413,41718,VH
14,Sweden,0.048,4,4,5.7,43.6,87.8,88.3,60.9,68.2,0.997,1,0.909,0.911,84.0,80.6,16.6,15.1,12.4,12.2,40328,52181,VH
15,Liechtenstein,-1,-1,-1,-1,20.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13.5,15.9,-1,-1,-1,-1,VH
16,United Kingdom,0.131,28,9,14.6,26.7,81.3,84.6,56.9,68.7,0.964,2,0.890,0.924,82.7,78.9,16.7,15.9,13.2,13.4,26324,49872,VH
17,Japan,0.116,21,5,4.1,11.6,93.0,90.6,49.1,70.2,0.970,2,0.887,0.914,86.9,80.4,15.2,15.5,12.6,12.4,25385,49818,VH
18,Korea (Republic of),0.067,10,11,1.6,16.3,88.8,94.6,50.0,71.8,0.929,3,0.863,0.929,85.2,78.8,15.8,17.3,11.5,12.9,21308,47934,VH
19,Israel,0.103,20,5,9.7,26.7,87.3,90.3,58.9,69.4,0.973,2,0.884,0.909,84.2,80.8,16.5,15.5,12.8,12.7,23323,39239,VH
20,Luxembourg,0.075,13,10,5.9,28.3,100.6,99.4,52.2,66.1,0.966,2,0.881,0.911,84.1,79.6,14.0,13.7,11.6,12.3,47539,77291,VH
21,France,0.102,19,8,8.9,25.7,79.7,85.5,50.7,60.1,0.988,1,0.892,0.902,85.2,79.4,16.6,15.9,11.5,11.8,31742,44776,VH
22,Belgium,0.073,12,7,8.2,42.4,80.1,84.7,48.2,59.3,0.978,1,0.881,0.901,83.4,78.5,16.7,15.9,11.2,11.6,32416,50358,VH
23,Finland,0.056,8,3,6.5,41.5,100.0,100.0,55.0,62.1,1.000,1,0.895,0.895,83.8,78.2,17.6,16.5,11.5,11.1,32069,45882,VH
24,Austria,0.078,14,4,7.1,30.3,98.7,99.2,54.7,66.0,0.957,2,0.870,0.909,84.0,79.1,16.2,15.6,10.8,11.8,29829,57888,VH
25,Slovenia,0.053,6,9,3.8,27.7,96.5,98.3,52.2,63.0,1.003,1,0.890,0.888,83.5,77.6,18.1,16.7,11.9,12.2,25654,31726,VH
26,Italy,0.085,16,4,6.0,30.1,79.1,83.3,39.3,58.1,0.963,2,0.865,0.899,85.7,80.9,16.7,15.9,10.5,11.0,22910,44844,VH
27,Spain,0.081,15,5,8.4,38.0,70.9,76.7,52.3,64.8,0.974,2,0.870,0.894,85.4,80.0,18.0,17.4,9.6,10.0,24382,41500,VH
28,Czech Republic,0.129,27,4,9.9,19.6,99.8,99.8,51.1,68.2,0.983,1,0.869,0.883,81.6,75.9,17.6,16.1,12.1,12.6,20997,35543,VH
29,Greece,0.119,23,3,7.5,19.7,63.7,71.7,43.9,60.0,0.957,2,0.844,0.883,84.0,78.2,17.1,17.3,10.3,10.8,17304,32683,VH
30,Brunei Darussalam,-1,-1,23,21.0,-1,67.7,69.6,51.0,75.3,0.986,1,0.854,0.866,80.9,77.2,15.4,14.6,9.0,9.1,55402,89256,VH
30,Estonia,0.131,28,9,13.1,23.8,100.0,100.0,55.4,69.5,1.032,2,0.878,0.851,81.4,72.2,17.3,15.7,13.0,12.2,21976,31347,VH
32,Andorra,-1,-1,-1,-1,39.3,72.0,73.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.2,10.3,-1,-1,VH
33,Cyprus,0.116,21,7,5.0,12.5,77.0,82.7,57.5,70.2,0.979,1,0.846,0.864,82.6,78.2,14.7,13.8,11.6,11.9,23450,35227,VH
33,Malta,0.217,44,9,16.6,12.9,72.7,81.2,38.8,66.0,0.923,4,0.817,0.885,82.4,79.0,14.3,15.0,10.9,11.6,17295,41802,VH
33,Qatar,0.542,127,13,10.7,0.0,70.9,67.8,53.6,94.2,0.991,1,0.851,0.859,80.1,77.5,13.5,13.3,10.9,9.5,50324,159897,VH
36,Poland,0.137,30,3,13.4,24.8,81.1,86.9,49.1,65.3,1.006,1,0.857,0.852,81.5,73.6,17.2,15.5,11.9,12.0,18928,29658,VH
37,Lithuania,0.121,25,10,11.0,23.4,91.1,95.6,53.9,65.5,1.032,2,0.861,0.834,79.1,67.9,17.1,16.0,12.7,12.7,22147,30530,VH
38,Chile,0.322,65,22,47.8,15.8,76.1,76.9,50.7,74.6,0.966,2,0.829,0.858,84.7,79.0,16.6,16.1,9.8,10.0,14955,28556,VH
38,Saudi Arabia,0.257,50,12,8.8,19.9,63.3,72.1,20.1,79.1,0.882,5,0.779,0.884,75.9,73.2,15.3,17.0,9.0,10.0,19300,75923,VH
40,Slovakia,0.179,39,6,20.2,18.7,99.2,99.5,51.4,68.3,0.991,1,0.838,0.846,80.0,72.7,15.5,14.4,12.0,12.3,20173,33770,VH
41,Portugal,0.091,17,10,9.9,34.8,50.8,52.2,53.6,64.2,0.980,1,0.833,0.850,84.0,78.2,16.5,16.6,8.9,8.9,21095,31673,VH
