1,Norway,12.7,12.6,18.2,16.9,56994,70807,VH
2,Australia,12.5,13.1,20.3,19.4,35551,47553,VH
3,Switzerland,11.5,13.1,15.6,15.8,42561,65278,VH
4,Netherlands,11.6,12.2,18.0,17.8,34497,50432,VH
5,United States,13.0,12.9,17.4,15.7,41792,63163,VH
6,Germany,12.6,13.3,16.2,16.4,33028,53445,VH
7,New Zealand,12.5,12.6,20.2,18.5,26695,38656,VH
8,Canada,12.3,12.2,16.2,15.4,34612,49272,VH
9,Singapore,9.7,10.7,15.5,15.3,50001,95329,VH
10,Denmark,11.9,12.3,17.6,16.3,37106,48742,VH
11,Ireland,11.7,11.5,18.5,18.7,23872,43092,VH
12,Sweden,11.8,11.4,16.6,15.1,38071,48365,VH
13,Iceland,10.8,10.0,19.9,17.6,27612,42520,VH
14,United Kingdom,12.8,11.8,16.7,15.8,27589,42632,VH
15,"Hong Kong, China (SAR)",9.8,10.3,15.3,15.4,40051,66417,VH
15,Korea (Republic of),11.1,12.5,16.1,17.8,21795,38990,VH
17,Japan,11.2,11.8,15.1,15.4,22384,51906,VH
18,Liechtenstein,-1,-1,13.8,16.4,-1,-1,VH
19,Israel,12.6,12.5,16.1,15.2,24636,35402,VH
20,France,10.9,11.4,16.3,15.6,29580,44139,VH
21,Austria,8.9,10.6,15.9,15.3,25170,61543,VH
21,Belgium,10.5,10.7,16.5,16.0,30213,49077,VH
21,Luxembourg,10.9,11.7,14.0,13.8,41351,76196,VH
24,Finland,10.3,10.2,17.6,16.4,32123,42795,VH
25,Slovenia,11.8,12.0,17.9,15.8,21762,31916,VH
26,Italy,9.7,10.6,16.8,15.8,22303,43640,VH
27,Spain,9.5,9.7,17.5,16.8,23487,37804,VH
28,Czech Republic,12.1,12.5,16.9,15.9,16233,33098,VH
29,Greece,9.9,10.4,16.6,16.4,17791,31707,VH
30,Brunei Darussalam,8.6,8.8,14.9,14.2,52831,88468,VH
31,Qatar,10.1,8.7,14.0,13.9,45863,141468,VH
32,Cyprus,10.7,12.6,14.0,13.9,19787,33461,VH
33,Estonia,12.3,11.7,17.5,15.5,19410,27985,VH
34,Saudi Arabia,8.0,9.2,15.9,15.4,16197,78689,VH
35,Lithuania,12.3,12.4,17.3,16.0,19588,28607,VH
35,Poland,11.9,11.7,16.3,14.7,16462,26871,VH
37,Andorra,-1,-1,-1,-1,-1,-1,VH
37,Slovakia,11.6,11.5,15.6,14.5,19450,31554,VH
39,Malta,9.5,10.3,14.7,14.3,18832,35217,VH
40,United Arab Emirates,10.2,8.7,13.9,12.9,23903,72659,VH
41,Chile,9.6,9.9,15.3,15.0,14339,27410,VH
41,Portugal,8.0,8.5,16.5,16.1,17846,30817,VH
43,Hungary,11.2,11.4,15.7,15.1,17233,25663,VH
44,Bahrain,9.1,9.6,15.1,13.7,24531,36660,VH
44,Cuba,10.1,10.3,15.1,13.9,13302,26319,VH
